time,cpu_cycles,cpu-cycles,cpu-migrations,context-switches,cgroup-switches,State,Scenario,Label,interface,Attack
5.001476508,29477781925,29470803037,0,22081,21049,0,0,0,0,cryptojacking
5.001487254,28875416545,28801628531,0,9757,8746,0,0,0,0,cryptojacking
5.001640501,28790748880,28794363309,0,16461,13924,0,0,0,0,cryptojacking
5.003761639,29444900162,29451290366,0,23096,21198,0,0,0,0,cryptojacking
10.06573989,29210379544,29145372169,0,24619,21341,0,0,0,0,cryptojacking
10.06951619,28940730228,28971884993,0,26967,24821,0,0,0,0,cryptojacking
10.07572709,29108200653,29076518964,0,21135,19714,0,0,0,0,cryptojacking
10.07966911,29044615473,29060965056,0,26412,24261,0,0,0,0,cryptojacking
15.13361444,28801127852,28753892477,0,28531,26762,0,0,0,0,cryptojacking
15.13755714,28865729009,28884507019,0,26569,24331,0,0,0,0,cryptojacking
15.1477271,28893345130,28926160972,0,25390,23301,0,0,0,0,cryptojacking
15.17345503,28754075848,28667557135,0,23793,22176,0,0,0,0,cryptojacking
20.20162059,29193368508,28998038384,0,24468,22547,0,0,0,0,cryptojacking
20.20570288,28849407233,28809565753,0,32868,31019,0,0,0,0,cryptojacking
20.21973292,29474637820,29473025274,0,29893,27787,0,0,0,0,cryptojacking
20.24946908,29073240727,29057751038,0,22552,21007,0,0,0,0,cryptojacking
25.25738576,29135631190,29094420413,0,26577,24634,0,0,0,0,cryptojacking
25.28166985,28673789101,28719662290,0,27300,24653,0,0,0,0,cryptojacking
25.287729,28968139918,28984794725,0,28952,27082,0,0,0,0,cryptojacking
25.33746364,28910803358,28904245646,0,21592,20009,0,0,0,0,cryptojacking
30.32143799,28930095395,28935780604,0,26292,23415,0,0,0,0,cryptojacking
30.34168132,28830189742,28811522031,0,23631,20314,0,0,0,0,cryptojacking
30.35970154,28955161798,28977940228,0,28699,25687,0,0,0,0,cryptojacking
30.40179911,28945311770,29029482411,0,26087,22736,0,0,0,0,cryptojacking
35.38547208,29013482147,29080270068,0,26815,23116,0,0,0,0,cryptojacking
35.40165235,29526514624,29517931163,0,29397,27356,0,0,0,0,cryptojacking
35.42371018,29037148704,28974387309,0,24030,22340,0,0,0,0,cryptojacking
35.47346375,28908002054,28983107931,0,22794,21207,0,0,0,0,cryptojacking
40.45346545,28851287242,28818001807,0,28728,26235,0,0,0,0,cryptojacking
40.4697194,28912083062,28889695880,0,27310,25378,0,0,0,0,cryptojacking
40.4917585,28975004059,28964323341,0,23436,21418,0,0,0,0,cryptojacking
40.5455335,29036337415,29030142955,0,19987,18266,0,0,0,0,cryptojacking
45.50954367,28763292391,28775619926,0,22119,20202,0,0,0,0,cryptojacking
45.5416132,28876240427,28892106938,0,16873,15487,0,0,0,0,cryptojacking
45.54769161,28780742344,28719489870,0,16332,14011,0,0,0,0,cryptojacking
45.63345419,28933628764,28985004919,0,16764,14231,0,0,0,0,cryptojacking
50.57338987,29482583264,29486793147,0,28522,26276,0,0,0,0,cryptojacking
50.60770009,29078087486,28924548847,0,26725,23186,0,0,0,0,cryptojacking
50.62162755,28961259581,28737185404,0,28075,24683,0,0,0,0,cryptojacking
50.72145786,28998438449,28884390948,0,22867,20665,0,0,0,0,cryptojacking
55.6335417,28868541359,28878311221,0,23995,21956,0,0,0,0,cryptojacking
55.67972018,28888249168,28890397585,0,21707,19997,0,0,0,0,cryptojacking
55.69365016,28977692158,28964233341,0,27145,24804,0,0,0,0,cryptojacking
55.80947666,28923880054,28938118277,0,21981,20235,0,0,0,0,cryptojacking
60.69749146,28838308590,28849138867,0,27570,25496,0,0,0,0,cryptojacking
60.75173714,28881054890,28815932195,0,23833,21665,0,0,0,0,cryptojacking
60.76564277,29031977718,28893828200,0,26586,24054,0,0,0,0,cryptojacking
60.88149251,29457750761,29438131696,0,27662,25693,0,0,0,0,cryptojacking
65.75747534,28998592173,29112594043,0,29746,27710,0,0,0,0,cryptojacking
65.82376038,28726383469,28618765686,0,25126,23286,0,0,0,0,cryptojacking
65.83362061,28665610855,28751386366,0,23449,21579,0,0,0,0,cryptojacking
65.95747133,28913977397,28973965575,0,26325,24061,0,0,0,0,cryptojacking
70.82159031,28880901675,28877797837,0,23946,21966,0,0,0,0,cryptojacking
70.89173459,28740415683,28770492884,0,26581,24073,0,0,0,0,cryptojacking
70.90560414,28801232500,28870841215,0,25848,23154,0,0,0,0,cryptojacking
71.0414432,28869495382,28857763822,0,22897,19484,0,0,0,0,cryptojacking
75.88545296,28944777708,28945516439,0,26964,24183,0,0,0,0,cryptojacking
75.96372105,29391711172,29391237884,0,23872,21844,0,0,0,0,cryptojacking
75.97364138,28914903078,28899998387,0,23099,20899,0,0,0,0,cryptojacking
76.10939787,28786613253,28813806689,0,25385,23002,0,0,0,0,cryptojacking
80.9494261,28637291622,28577684372,0,24952,22988,0,0,0,0,cryptojacking
81.03169584,28976692926,28820066015,0,29497,27224,0,0,0,0,cryptojacking
81.04161639,29098585373,28910289311,0,24560,22221,0,0,0,0,cryptojacking
81.20545531,28788971541,28786126041,0,22808,19055,0,0,0,0,cryptojacking
86.01349802,28732234795,28765242031,0,25494,22015,0,0,0,0,cryptojacking
86.10370072,29210712327,29139979098,0,27547,23707,0,0,0,0,cryptojacking
86.10963818,28818338515,28805727007,0,23071,20159,0,0,0,0,cryptojacking
86.28544396,28867764810,28842159194,0,28284,25751,0,0,0,0,cryptojacking
91.06946602,28932179412,28979861030,0,28472,26439,0,0,0,0,cryptojacking
91.17173885,28937961648,28916446647,0,26215,24300,0,0,0,0,cryptojacking
91.18169555,29478501138,29468187808,0,27734,25428,0,0,0,0,cryptojacking
91.38150312,28866276139,28902957089,0,25550,23758,0,0,0,0,cryptojacking
96.13751562,28927973266,28934918305,0,23631,21790,0,0,0,0,cryptojacking
96.24373535,28947208725,28723930635,0,26054,22764,0,0,0,0,cryptojacking
96.24962733,29135897385,29149564993,0,22932,19911,0,0,0,0,cryptojacking
96.48944701,28901873538,28851403240,0,28053,24116,0,0,0,0,cryptojacking
101.1934717,28567819694,28915991030,0,27942,24834,0,0,0,0,cryptojacking
101.3117325,28902053655,28913238642,0,27193,23325,0,0,0,0,cryptojacking
101.3216168,28843997022,28771202158,0,22219,19240,0,0,0,0,cryptojacking
101.5615054,28907918857,28820078247,0,27131,25156,0,0,0,0,cryptojacking
106.2537114,29034782487,29022010994,0,27161,25145,0,0,0,0,cryptojacking
106.3837056,29521145280,29512434623,0,24861,22654,0,0,0,0,cryptojacking
106.3856287,29055721035,29034611658,0,26168,23959,0,0,0,0,cryptojacking
106.6494292,28916686103,28920779555,0,18749,17272,0,0,0,0,cryptojacking
111.3135046,29024903357,29059108712,0,17778,15321,0,0,0,0,cryptojacking
111.4557277,28698651495,28654873104,0,13750,11803,0,0,0,0,cryptojacking
111.457631,29025169587,29056381282,0,27221,23941,0,0,0,0,cryptojacking
111.7374947,28833672276,28823369598,0,22097,19211,0,0,0,0,cryptojacking
116.3693892,28736663319,29006610264,0,23213,19884,0,0,0,0,cryptojacking
116.5236677,29026374476,29149950990,0,26530,23187,0,0,0,0,cryptojacking
116.5256193,28750881546,29120596607,0,22222,18635,0,0,0,0,cryptojacking
116.8214782,28689955954,28660294030,0,27348,23361,0,0,0,0,cryptojacking
121.4294603,29434384928,29434470586,0,26988,24793,0,0,0,0,cryptojacking
121.5877187,29037433568,29107605802,0,31370,28078,0,0,0,0,cryptojacking
121.5976358,28691349148,28714934220,0,25034,23134,0,0,0,0,cryptojacking
